Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	NULL	man, ɨaraχan	Indonesian, Mandarin Chinese, Malagasy, Seychelles Creole, Thai, Japanese, Gurindji, Hawaiian, White Hmong, Imbabura Quechua, Q'eqchi', Swahili, Yaqui, Takia, Zinacantán Tzotzil, Romanian, Gawwada, Wichí, Lower Sorbian, Kali'na, Archi, Tarifiyt Berber, Bezhta, Mapudungun, Selice Romani, Iraqw, English, Sakha, Old High German, Ceq Wong, Otomi, Kildin Saami, Hausa, Oroqen, Ket, Dutch, Manange, Saramaccan, Hup, Vietnamese, Kanuri	31406	U+0061
i	NULL	pilipili, hits’ifwin	Mandarin Chinese, Romanian, Japanese, Swahili, Yaqui, Imbabura Quechua, Malagasy, Indonesian, Dutch, Zinacantán Tzotzil, Q'eqchi', Hawaiian, Seychelles Creole, Wichí, Selice Romani, Old High German, Gurindji, Otomi, English, Bezhta, Tarifiyt Berber, White Hmong, Lower Sorbian, Mapudungun, Kali'na, Archi, Gawwada, Sakha, Takia, Vietnamese, Oroqen, Ket, Iraqw, Kildin Saami, Manange, Hausa, Thai, Ceq Wong, Saramaccan, Hup, Kanuri	17737	U+0069
n	NULL	mana nina, nono	Mandarin Chinese, Malagasy, Indonesian, Otomi, Imbabura Quechua, Romanian, Selice Romani, Swahili, Gurindji, Seychelles Creole, Kali'na, Q'eqchi', Hawaiian, Lower Sorbian, Vietnamese, Mapudungun, Hausa, Dutch, Japanese, Takia, Kanuri, Saramaccan, English, Wichí, Old High German, Yaqui, Iraqw, White Hmong, Zinacantán Tzotzil, Tarifiyt Berber, Thai, Gawwada, Archi, Bezhta, Kildin Saami, Sakha, Oroqen, Ket, Manange, Ceq Wong, Hup	15273	U+006e
e	NULL	pen, tei-	Dutch, Indonesian, Seychelles Creole, Romanian, Selice Romani, Wichí, Kildin Saami, Mapudungun, English, Yaqui, Mandarin Chinese, Lower Sorbian, Japanese, Old High German, Q'eqchi', Zinacantán Tzotzil, Hawaiian, Kali'na, Otomi, Sakha, Swahili, Takia, Ket, Thai, Bezhta, Archi, White Hmong, Saramaccan, Manange, Hup, Ceq Wong, Gawwada, Malagasy, Hausa, Iraqw, Vietnamese, Imbabura Quechua, Tarifiyt Berber	14196	U+0065
u	NULL	ndugu, tua	Mandarin Chinese, Indonesian, Romanian, Gurindji, Imbabura Quechua, White Hmong, Japanese, Swahili, Archi, Yaqui, Hawaiian, Q'eqchi', Mapudungun, Kali'na, Zinacantán Tzotzil, Wichí, Otomi, Sakha, Lower Sorbian, Tarifiyt Berber, Kildin Saami, Oroqen, Old High German, English, Dutch, Seychelles Creole, Selice Romani, Manange, Gawwada, Vietnamese, Thai, Takia, Iraqw, Bezhta, Ceq Wong, Hausa, Saramaccan, Ket, Hup, Kanuri, Malagasy	13148	U+0075
o	NULL	motor, k’ok’	Seychelles Creole, Mandarin Chinese, Lower Sorbian, Romanian, Yaqui, Q'eqchi', Japanese, Hawaiian, Wichí, Zinacantán Tzotzil, Kali'na, Malagasy, English, Otomi, Bezhta, Dutch, Selice Romani, Sakha, Swahili, Takia, White Hmong, Archi, Mapudungun, Old High German, Indonesian, Gawwada, Ket, Manange, Kildin Saami, Saramaccan, Thai, Hup, Ceq Wong, Hausa, Vietnamese, Iraqw, Oroqen, Imbabura Quechua, Kanuri	12749	U+006f
r	r	kari, kara	Romanian, Malagasy, Japanese, Seychelles Creole, Selice Romani, Indonesian, Lower Sorbian, Sakha, Gurindji, Dutch, Mapudungun, English, Kanuri, Old High German, Imbabura Quechua, Oroqen, Hausa, Yaqui, Iraqw, Archi, Swahili, Thai, Takia, Q'eqchi', Gawwada, Tarifiyt Berber, Manange, Bezhta, Kildin Saami, Otomi, Zinacantán Tzotzil, Vietnamese, Ceq Wong, Ket, Mandarin Chinese, White Hmong, Hup, Kali'na, Wichí, Hawaiian	10374	U+0072
a$	a	na, ta	Malagasy, Swahili, Imbabura Quechua, Hausa, Yaqui, Hawaiian, Lower Sorbian, Gurindji, Kali'na, Indonesian, Selice Romani, Romanian, Tarifiyt Berber, Japanese, Iraqw, Otomi, Saramaccan, Bezhta, Old High German, Oroqen, Wichí, Mapudungun, Thai, Sakha, Takia, Gawwada, Manange, Zinacantán Tzotzil, Ket, Kildin Saami, Seychelles Creole, Archi, Vietnamese, White Hmong, Q'eqchi', Hup, Mandarin Chinese, English, Dutch	9739	U+0061 U+0024
