Grapheme	IPA	SCA	LANGUAGES	FREQUENCY	EXAMPLES	CODEPOINTS
^	NULL		NULL	0		NULL
$	NULL		NULL	0		NULL
^ē$	eː	E	Japanese	1	ē	U+005E U+0113 U+0024
^i$	i	I	Japanese	1	i	U+005E U+0069 U+0024
^u$	ɯ	I	Japanese	1	u	U+005E U+0075 U+0024
^ii$	iː	I	Japanese	1	ii	U+005E U+0069 U+0069 U+0024
^o$	o	U	Japanese	1	o	U+005E U+006F U+0024
^ō$	oː	U	Japanese	1	ō	U+005E U+014D U+0024
a	a	A	Japanese	1129	sekai;tairiku;yama;gake;nohara	U+0061
ā	aː	A	Japanese	5	sukāto;koshimino-sukāto;kāpetto;gādoman;nanbāpurēto	U+0101
^a	a	A	Japanese	97	awa;anshō;arashi;ame;aka-chan	U+005E U+0061
^ā	aː	A	Japanese	1	āchi	U+005E U+0101
a$	a	A	Japanese	236	suna;yama;oka;nohara;shima	U+0061 U+0024
ā$	aː	A	Japanese	6	batā;hanmā;autoriggā;karendā;biibā	U+0101 U+0024
f	f	B	Japanese	23	sofu;rōfu;gifu;kafu;bokufu	U+0066
^f	ɸ	B	Japanese	43	futago;fukurō;fukuronezumi;fuke;fukurahagi	U+005E U+0066
ff	ɸː	B	Japanese	1	baffarō	U+0066 U+0066
ch	tɕ	C	Japanese	95	rikuchi;tsuchi;heichi;naichi;kanchō	U+0063 U+0068
ts	ts	C	Japanese	110	dōkutsu;dōbutsu;hitsuji;ohitsuji;mehitsuji	U+0074 U+0073
^ch	tɕ	C	Japanese	38	chichi;chō;chimō;chi;chichi	U+005E U+0063 U+0068
^ts	ts	C	Japanese	46	tsuchi;tsuki;tsuyu;tsuma;tsuno	U+005E U+0074 U+0073
e	e	E	Japanese	406	sekai;heichi;shikeru;tenki;tenkō	U+0065
ē	eː	E	Japanese	5	sōsēji;bēru;tēburu;burēki;nanbāpurēto	U+0113
^e	e	E	Japanese	21	era;ei;erikubi;ekika;eri	U+005E U+0065
e$	e	E	Japanese	128	gake;ike;irie;kage;kaze	U+0065 U+0024
ē$	eː	E	Japanese	1	kyandē	U+0113 U+0024
h	h	H	Japanese	33	nohara;haha;mamahaha;mamahaha;ohitsuji	U+0068
^h	h	H	Japanese	188	hokori;heichi;horaana;hikishio;hayashi	U+005E U+0068
i	i	I	Japanese	701	tairiku;tairiku;rikuchi;riku;heichi	U+0069
ū	ɯː	I	Japanese	58	kūki;shūto;shūto;shūtome;shūtome	U+016B
^i	i	I	Japanese	67	ike;irie;izumi;ido;ishi	U+005E U+0069
^u	ɯ	I	Japanese	47	umi;uzumaki;ushi;uma;usagi	U+005E U+0075
^ū	ɯː	I	Japanese	1	ūru	U+005E U+016B
i$	i	I	Japanese	564	sekai;rikuchi;tsuchi;hokori;heichi	U+0069 U+0024
ii	iː	I	Japanese	16	oniisan;ojiisan;ojiisan;oriibu;chiizu	U+0069 U+0069
u$	ɯ	I	Japanese	653	tairiku;riku;tairiku;dōkutsu;mizu	U+0075 U+0024
ū$	ɯː	I	Japanese	23	kyoseigyū;konchū;sekichū;shikyū;kokyū	U+016B U+0024
^ii	iː	I	Japanese	2	iie;iiarasoi	U+005E U+0069 U+0069
ii$	iː	I	Japanese	17	akusesarii;mazushii;ōkii;atarashii;nioi_ga_ii	U+0069 U+0069 U+0024
y	j	J	Japanese	132	kaiyō;taiyō;hayashi;taiyō;tsuyu	U+0079
^y	j	J	Japanese	81	yo;yama;yami;yuki;yome	U+005E U+0079
g	g	K	Japanese	182	kaigan;kagan;nagi;kage;takigi	U+0067
k	k	K	Japanese	574	sekai;tairiku;rikuchi;riku;hokori	U+006B
^g	g	K	Japanese	46	gake;gifu;gibo;gachō;gokiburi	U+005E U+0067
^k	k	K	Japanese	367	kishi;kaigan;kagan;kaiyō;kata	U+005E U+006B
m	m	M	Japanese	311	yama;shima;umi;mizuumi;nami	U+006D
^m	m	M	Japanese	180	mizu;mizuumi;misaki;michishio;manchō	U+005E U+006D
n	n	N	Japanese	315	suna;tani;horaana;kanchō;manchō	U+006E
^n	n	N	Japanese	134	nohara;naichi;nagi;nami;numa	U+005E U+006E
n$	n	N	Japanese	166	kaigan;kagan;wan;jishin;mokutan	U+006E U+0024
b	b	P	Japanese	188	nyōbō;sobo;obāsan;rōba;obāsan	U+0062
p	p	P	Japanese	18	opossamu;furaipan;supūn;sūpu;rampu	U+0070
^b	b	P	Japanese	64	boku;bokura;bokujō;bokufu;buta	U+005E U+0062
^p	p	P	Japanese	13	penisu;pan;poncho;poketto;pin	U+005E U+0070
pp	pː	P	Japanese	15	shippo;oppai;oppai;kappu;dappi	U+0070 U+0070
r	r	R	Japanese	572	tairiku;hokori;doro;nohara;tairiku	U+0072
^r	r	R	Japanese	37	rikuchi;riku;rakurai;rikon;ryōshin	U+005E U+0072
j	ʑ	S	Japanese	96	niji;shōjo;seijo;shujin;ojiisan	U+006A
s	s	S	Japanese	177	misaki;moesashi;moyasu;tomosu;kesu	U+0073
z	z	S	Japanese	85	mizu;mizuumi;uzumaki;izumi;mokuzai	U+007A
^j	ʑ	S	Japanese	39	jishin;josei;josei;joshi;jida	U+005E U+006A
^s	s	S	Japanese	162	sekai;suna;sora;sumi;seinen	U+005E U+0073
^z	z	S	Japanese	11	zō;zugaikotsu;zubon;zō;zeikin	U+005E U+007A
sh	ɕ	S	Japanese	143	kishi;hikishio;michishio;hayashi;ishi	U+0073 U+0068
^sh	ɕ	S	Japanese	114	shima;shikeru;shio;shitchi;shōnen	U+005E U+0073 U+0068
d	d	T	Japanese	80	ido;kodomo;kodomo;otokokyōdai;onnakyōdai	U+0064
t	t	T	Japanese	211	kata;shitchi;matchi;mokutan;hito	U+0074
^d	d	T	Japanese	63	doro;dōkutsu;dansei;dansei;danshi	U+005E U+0064
^t	t	T	Japanese	128	tairiku;tani;tairiku;taiyō;taki	U+005E U+0074
o	o	U	Japanese	576	hokori;hokori;doro;nohara;horaana	U+006F
ō	oː	U	Japanese	111	dōkutsu;kōri;shōnen;shōjo;nyōbō	U+014D
^o	o	U	Japanese	95	oka;otoko;onna;otoko;onna	U+005E U+006F
^ō	oː	U	Japanese	15	ōmu;ōkami;ōto;ōbun;ōmugi	U+005E U+014D
o$	o	U	Japanese	206	yo;doro;shio;hikishio;michishio	U+006F U+0024
ō$	oː	U	Japanese	117	kaiyō;taiyō;anshō;kanchō;manchō	U+014D U+0024
w	w	W	Japanese	51	awa;kawa;iwa;wareware;niwatori	U+0077
^w	w	W	Japanese	23	wan;wakamono;watashi;watashitachi;wareware	U+005E U+0077
u	u	Y	Japanese	562	rikuchi;tsuchi;suna;dōkutsu;uzumaki	U+0075
-	+	_	Japanese	2	aka-chan;koshimino-sukāto	U+002D
_	_	_	Japanese	78	waki_no_shita;waki_no_shita;ase_o_kaku;ase_o_kaku;tsuba_o_haku	U+005F
’	+	_	Japanese	12	man’naka;kin’yō;kō’un;fu’an;don’yoku	U+2019
aa	a a	A A	Japanese	1	horaana	U+0061 U+0061
ās	aː s	A S	Japanese	3	okāsan;obāsan;obāsan	U+0101 U+0073
ēs	eː s	E S	Japanese	1	onēsan	U+0113 U+0073
ēsh	eː ɕ	E S	Japanese	1	inishiēshon	U+0113 U+0073 U+0068
uu	ɯ ɯ	I I	Japanese	2	mizuumi;akuun	U+0075 U+0075
uu$	ɯ ɯ	I I	Japanese	7	suu;suu;furuu;nuu;suu	U+0075 U+0075 U+0024
gg	g g	K K	Japanese	2	nettobaggu;autoriggā	U+0067 U+0067
kk	k k	K K	Japanese	34	kekkon;kekkonshiki;kekkan;rokkotsu;shakkuri	U+006B U+006B
nn	n n	N N	Japanese	10	onna;onna;onnanoko;danna;onnakyōdai	U+006E U+006E
ns	n s	N S	Japanese	11	dansei;dansei;shinseki;bansan;sensu	U+006E U+0073
nsh	n ɕ	N S	Japanese	10	anshō;danshi;kekkonshiki;ninshin;kōjōsenshu	U+006E U+0073 U+0068
nw	n w	N W	Japanese	1	denwa	U+006E U+0077
ss	s s	S S	Japanese	7	opossamu;chissoku;kyassaba;bassai;massugu	U+0073 U+0073
ssh	s ɕ	S S	Japanese	2	kesshite;zesshoku	U+0073 U+0073 U+0068
dd	d d	T T	Japanese	1	beddo	U+0064 U+0064
tt	t t	T T	Japanese	22	otto;batta;futtō;nattsu;poketto	U+0074 U+0074
ōh	oː h	U H	Japanese	5	hōhi;hōhō;kyōhaku;kosekishōhon;kōhii	U+014D U+0068
^ōh	oː h	U H	Japanese	1	ōhashi	U+005E U+014D U+0068
ōs	oː s	U S	Japanese	13	otōsan;kōjōsenshu;hi_o_tōsu;hi_o_tōsu;sōsēji	U+014D U+0073
ōsh	oː ɕ	U S	Japanese	10	ryōshin;chōshoku;budōshu;bōshi;yōsha	U+014D U+0073 U+0068
^oo	o o	U U	Japanese	1	oou	U+005E U+006F U+006F
oo$	o o	U U	Japanese	1	honoo	U+006F U+006F U+0024
