Grapheme	IPA	SCA	LANGUAGES	FREQUENCY	EXAMPLES	CODEPOINTS
^	NULL		NULL	0		NULL
$	NULL			162	lâa;bɔ̀ɔ;pàa;fáa;fáaphàa	U+0024
9$	NULL			1	saay9	U+0039 U+0024
่$	NULL		Thai	1	thàankhú่	U+0E48 U+0024
^dinfáa-aakàat$	d i n f áa/aː + aː k àa/aː t	T I N B A _ A K A T	Thai	1	dinfáa-aakàat	U+005E U+0064 U+0069 U+006E U+0066 U+00E1 U+0061 U+002D U+0061 U+0061 U+006B U+00E0 U+0061 U+0074 U+0024
a	a	A	Thai	780	la?ɔɔŋ;thalee;rîap;mahǎasamùt;mahǎasamùt	U+0061
à	à/a	A	Thai	135	phàendinyày;phàendinyày;fàŋ;phàendinwǎy;dàp	U+00E0
á	á/a	A	Thai	93	phrá?aathít;phrácan;pháríyaa;banpháburùt;lûuksapháy	U+00E1
â	â/a	A	Thai	105	thâm;mâenáam;fáalâep;thâo;mây	U+00E2
ǎ	ǎ/a	A	Thai	201	khǎo;phuukhǎo;phǎa;hùpkhǎo;mahǎasamùt	U+01CE
a$	a	A	Thai	68	phǎa;phǔa;phɔ̂ɔphǔa;mâeaephǔa;krasǎa	U+0061 U+0024
aa	aː	A	Thai	231	saay;thaaraa;laakuun;naewpakaaraŋ;naamkhʉ̂n	U+0061 U+0061
à$	à/a	A	Thai	12	waatà;sǐisà;thantà;rúkkhà;pà	U+00E0 U+0024
àa	àa/aː	A		94	thaleesàap;?àaw;tàat;pàa;fáaphàa	U+00E0 U+0061
á$	á/a	A	Thai	16	himá;?àtsawá;sìrá;maná;?anthá	U+00E1 U+0024
áa	áa/aː	A		83	náam;krasǎenáam;náamloŋ;mâenáam;náamtòk	U+00E1 U+0061
âa	âa/aː	A		137	lâa;yâa;pâa;pâa;pâa	U+00E2 U+0061
aa$	aː	A	Thai	68	thaaraa;suriyaa;daaraa;chǎayaa;phanrayaa	U+0061 U+0061 U+0024
f	f	B	Thai	11	fǎafàeaet;rimfǐipàak;plɔ̀ŋfay;chʉ̂afaŋ;naaŋfáa	U+0066
^f	f	B	Thai	34	fùn;fàŋ;fɔɔŋ;fɔ̂ɔŋ;fáa	U+005E U+0066
c	c	C	Thai	43	phrácan;khâaphacâaw;mǎacîŋcɔ̀ɔk;mǎacîŋcɔ̀ɔk;cìŋcòk	U+0063
^c	c	C	Thai	50	cùt;câw;cakhèp;cìŋcòk;carakhêe	U+005E U+0063
ch	tɕ	C	Thai	37	phûuchaay;dèkphûuchaay;lûukchaay;phîichaay;nɔ́ɔŋchaay	U+0063 U+0068
ts	ts	C	Thai	16	?ìtsàtrii;?àtsawá;mátsayǎa;pàtsawá;châŋtàtsʉ̂a	U+0074 U+0073
^ch	tɕ	C	Thai	65	chon;chǎayaa;chaay;chanók;chonnanii	U+005E U+0063 U+0068
e	e	E	Thai	216	phàendinyày;naewpakaaraŋ;lǎeaem;lǎeaem;krasǎenáam	U+0065
è	è/e	E	Thai	26	dèkphûuchaay;dèkphûuyǐŋ;dèk;pèt;klèt	U+00E8
é	é/e	E	Thai	18	lép;kronglép;yét;khénkhɔɔ;yép	U+00E9
ê	ê/e	E	Thai	5	sênlʉ̂at;tên;sên;lên;sên	U+00EA
ě	ě/e	E	Thai	11	khěm;khěmkhàt;khěmklàt;hěem;máaykaaŋkhěen	U+011B
ə	ə	E	Thai	3	ŋən;ŋən;póotsəkáat	U+0259
e$	e	E	Thai	35	khǎeae;ŋaeae;mâeae;phɔ̂ɔmâeae;kàeae	U+0065 U+0024
ee	eː	E	Thai	17	thaleesàap;pleew;krabeen;?eew;meeray	U+0065 U+0065
è$	è/e	E	Thai	1	tè	U+00E8 U+0024
èe	èe/eː	E		10	kasèettrakɔɔn;kaphlòokkaphlèek;khayòokkhayèek;?èek;lèet	U+00E8 U+0065
ée	ée/eː	E		2	bée;patìséet	U+00E9 U+0065
êe	êe/eː	E		11	mêek;carakhêe;khêe;khêe;nêet	U+00EA U+0065
əə	əː	E	Thai	15	chəəŋ;nəəykhǎeŋ;nəəy;khanəəy;dəən	U+0259 U+0259
ee$	eː	E	Thai	4	thalee;saŋtee;rótmee;plee	U+0065 U+0065 U+0024
əə$	əː	E	Thai	9	thəə;fəə;chəə;fəə;cəə	U+0259 U+0259 U+0024
ə̀ə	ə̀ə/əː	E		5	kə̀ət;pə̀ət;bə̀ək;bâankə̀ətmʉaŋnɔɔn;baykə̀ət	U+0259 U+0300 U+0259
ə́ə	ə́ə/əː	E		1	chə́ət	U+0259 U+0301 U+0259
ə̂ə	ə̂ə/əː	E		6	nə̂ən;rə̂əm;lə̂ək;kalandə̂ə;mɔɔtə̂ə	U+0259 U+0302 U+0259
ə̌ə	ə̌ə/əː	E		7	lûukkhə̌əy;lûukkhə̌əy;samə̌ə;chalə̌əy;lûukkhə̌əy	U+0259 U+030C U+0259
ə̀ə̀	ə̀ə̀/əː	E	Thai	1	rabə̀ə̀t	U+0259 U+0300 U+0259 U+0300
?	ʔ	H	Thai	16	la?ɔɔŋ;phrá?aathít;sa?ʉ̀k;ŋʉ̀a?ɔ̀ɔk;?ɔ̀ɔn?aeae	U+003F
h	h	H	Thai	45	mahǎasamùt;?ìtthǐi;bùpphakaarii;lûukkhə̌əy;lûukkhə̌əy	U+0068
^?	ʔ	H	Thai	95	?ùthók;?àaw;?aakàat;?aakàat;?ìtsàtrii	U+005E U+003F
^h	h	H	Thai	73	hùpkhǎo;hǐnsǒokhrôok;hǐn;himá;hàan	U+005E U+0068
i	i	I	Thai	79	din;phàendinyày;phàendinwǎy;suriyaa;thinnakɔɔn	U+0069
ì	ì/i	I	Thai	60	?ìtsàtrii;?ìtthǐi;bìdaa;bìdɔɔn;bìdaamaandaa	U+00EC
í	í/i	I	Thai	57	phíphóp;phrá?aathít;pháríyaa;thídaa;phɔ̂ɔlíaŋ	U+00ED
î	î/i	I	Thai	63	rîap;phîichaay;phîisǎaw;phîisǎaw;phîinɔ́ɔŋ	U+00EE
ǐ	ǐ/i	I	Thai	50	hǐnsǒokhrôok;hǐn;phûuyǐŋ;?ìtthǐi;yǐŋ	U+01D0
i$	i	I	Thai	27	?ìtthǐi;sǐi;mǐi;hàtthǐi;khîi	U+0069 U+0024
ia	ia	I		24	mia;tuamia;?aacian;lia;bia	U+0069 U+0061
ii	iː	I	Thai	17	miikhlʉ̂ʉn;tiin;miikhan;khiim;tiilèk	U+0069 U+0069
ì$	ì/i	I	Thai	2	nâaymáyphlì;nítì	U+00EC U+0024
ìi	ìi/iː	I		22	máaykhìit;sàtpìik;krabìi;pìik;chìi	U+00EC U+0069
í$	í/i	I	Thai	1	mí	U+00ED U+0024
íi	íi/iː	I		7	dǐawníi;bàtníi;khanàníi;wanníi;phrûŋníi	U+00ED U+0069
ii$	iː	I	Thai	54	satrii;?ìtsàtrii;sǎamii;sawǎamii;chonnanii	U+0069 U+0069 U+0024
y	j	J	Thai	100	phàendinyày;suriyaa;phaayú;chǎayaa;máaykhìit	U+0079
^y	j	J	Thai	66	yǐŋ;yâa;yaay;yǐŋcharaa;yâat	U+005E U+0079
y$	j	J	Thai	245	saay;dɔɔy;phàendinyày;phray;máay	U+0079 U+0024
yy	j	J	Thai	1	sǎyyaa	U+0079 U+0079
k	k	K	Thai	98	laakuun;naewpakaaraŋ;thinnakɔɔn;?aakàat;?aakàat	U+006B
^k	k	K	Thai	91	kɔ̀;kaanyàa;kàeae;kamphráa;kuu	U+005E U+006B
k$	k	K	Thai	179	lôok;bòk;khôok;?ùthók;hǐnsǒokhrôok	U+006B U+0024
kh	kʰ	K	Thai	53	phuukhǎo;hùpkhǎo;miikhlʉ̂ʉn;hǐnsǒokhrôok;naamkhʉ̂n	U+006B U+0068
kk	kk	K	Thai	27	lûukkhə̌əy;lûukkhə̌əy;phûakkhun;phûakkháo;lûukkày	U+006B U+006B
ks	ks	K	Thai	19	lûuksǎaw;lûuksapháy;lûuksapháy;kradùuksǎnlǎŋ;tàksǎy	U+006B U+0073
^kh	kʰ	K	Thai	164	khǎo;khôok;khǎeae;khon;khoncharaa	U+005E U+006B U+0068
^kl	k	K		26	klèt;klʉʉn;klʉa;klɔɔn;klaeae	U+005E U+006B U+006C
^kr	k	K		38	krasǎenáam;kraphǒm;krasǎa;kratàay;krabeen	U+005E U+006B U+0072
^khl	kʰ	K		8	khloon;khlʉ̂ʉn;khlaan;khlum;khláay	U+005E U+006B U+0068 U+006C
^khr	kʰ	K		20	khrɔ̂ɔpkhrua;khrua;khrîip;khrao;khráan	U+005E U+006B U+0068 U+0072
l	l	L	Thai	97	thalee;miikhlʉ̂ʉn;thaleesàap;náamloŋ;bʉ̀lǎn	U+006C
^l	l	L	Thai	123	lôok;lâa;la?ɔɔŋ;lòm;laakuun	U+005E U+006C
m	m	M	Thai	134	mahǎasamùt;náamloŋ;naamkhʉ̂n;náamtòk;náamkháaŋ	U+006D
^m	m	M	Thai	127	miikhlʉ̂ʉn;mahǎasamùt;mâenáam;máay;mêek	U+005E U+006D
m$	m	M	Thai	134	tom;lòm;thâm;náam;lǎeaem	U+006D U+0024
n	n	N	Thai	158	phàendinyày;phàendinyày;krasǎenáam;mâenáam;phàendinwǎy	U+006E
ŋ	ŋ	N	Thai	88	thaŋǎy;nɔ́ɔŋchaay;yǐŋcharaa;naaŋnuan;kháaŋkhaaw	U+014B
^n	n	N	Thai	122	náam;naewpakaaraŋ;náamloŋ;naamkhʉ̂n;nɔ̌ɔŋ	U+005E U+006E
^ŋ	ŋ	N	Thai	24	ŋao;ŋaeae;ŋaantàeŋŋaan;ŋʉ̀ak;ŋuu	U+005E U+014B
n$	n	N	Thai	340	phʉ́ʉn;din;fùn;khloon;chon	U+006E U+0024
ng	ŋ	N		1	kronglép	U+006E U+0067
ns	ns	N	Thai	9	hǐnsǒokhrôok;lǎansǎaw;lǎansǎaw;?insii;khǒnsàt	U+006E U+0073
ŋ$	ŋ	N	Thai	231	la?ɔɔŋ;phǒŋ;thûŋ;fàŋ;fɔɔŋ	U+014B U+0024
