Grapheme	IPA	SCA	LANGUAGES	FREQUENCY	EXAMPLES	CODEPOINTS
^	NULL			7	(zànaka_làhy_ny_vàdy);(zànaka_vàvy_ny_vàdy);(làmba)_rongonimbazàha;(mìsy)_ao_an-tànany;(vitsi)vìtsy	U+005E
$	NULL			17	(zànaka_làhy_ny_vàdy);(zànaka_vàvy_ny_vàdy);laboz`y;mivèly_(vàry);mitatào_vovònana_(ny_àndro)	U+0024
(	NULL			11	(zànaka_làhy_ny_vàdy);(zànaka_vàvy_ny_vàdy);(làmba)_rongonimbazàha;mivèly_(vàry);voanì(h)o	U+0028
)	NULL			11	(zànaka_làhy_ny_vàdy);(zànaka_vàvy_ny_vàdy);(làmba)_rongonimbazàha;mivèly_(vàry);voanì(h)o	U+0029
.	NULL		Malagasy	9	tsy...na_oviana_na_ovìana;tsy...na_oviana_na_ovìana;tsy...na_oviana_na_ovìana;àmin’...;àmin’...	U+002E
!$	NULL		Malagasy	3	hàingana!;haingàna!;faingàna!	U+0021 U+0024
a	a	A	Malagasy	1292	fòtaka;hàntsana;tàny_lèmaka;loha-sàha;lava-bàto	U+0061
à	à/a	A	Malagasy	656	izào_tontòlo_izào;izào_tontòlo_izào;tàny;tàny;hàntsana	U+00E0
^a	a	A	Malagasy	101	antsiben’andriamànitra;afokàsika;afokàsoka;anadàhy;anavàvy	U+005E U+0061
^à	à/a	A	Malagasy	38	àlona;àla;àvana;àloka;àndo	U+005E U+00E0
a$	a	A	Malagasy	933	vòvoka;fòtaka;fàsika;vòhitra;hàntsana	U+0061 U+0024
à$	à/a	A	Malagasy	5	lalandrà;zomà;mandà;mandà;kadanà	U+00E0 U+0024
f	f	B	Malagasy	127	tafìodrìvotra;àfo;lelàfo;vainàfo;afokàsika	U+0066
v	v	B	Malagasy	221	vòvoka;lava-bàto;tafìodrìvotra;àvana;zàva	U+0076
^f	f	B	Malagasy	147	fòtaka;fàsika;farìhy;fampakarambadìana;fisaràhana	U+005E U+0066
^v	v	B	Malagasy	111	vòvoka;vòhitra;vòry;vàto;vòlana	U+005E U+0076
